Date,ACT_Hsi_RSS01,ACT_Hsi_RSS02,ACT_Hsi_RSS03,ACT_Hsi_RSS04,ACT_Hsi_RSS05,ACT_Hsi_RSS06,ACT_Hsi_RSS07,ACT_Hsi_RSS08,ACT_Hsi_RSS09,ACT_Hsi_RSS10,ACT_Hsi_RSS11,ACT_Hsi_RSS12,ACT_Hsi_RSS13,ACT_Hsi_RSS14,ACT_Hsi_RSS15,ACT_Hsi_RSS16,ACT_Hsi_RSS17,ACT_Hsi_RSS18,ACT_Hsi_RSS99,ACT_Si_RSS01,ACT_Si_RSS02,ACT_Si_RSS03,ACT_Si_RSS04,ACT_Si_RSS05,ACT_Si_RSS06,ACT_Si_RSS07,ACT_Si_RSS08,ACT_Si_RSS09,ACT_Si_RSS10,ACT_Si_RSS11,ACT_Si_RSS12,ACT_Si_RSS13,ACT_Si_RSS14,ACT_Si_RSS15,ACT_Si_RSS16,ACT_Si_RSS17,ACT_Si_RSS18,ACT_Si_RSS99,ACT_Total_RSS01,ACT_Total_RSS02,ACT_Total_RSS03,ACT_Total_RSS04,ACT_Total_RSS05,ACT_Total_RSS06,ACT_Total_RSS07,ACT_Total_RSS08,ACT_Total_RSS09,ACT_Total_RSS10,ACT_Total_RSS11,ACT_Total_RSS12,ACT_Total_RSS13,ACT_Total_RSS14,ACT_Total_RSS15,ACT_Total_RSS16,ACT_Total_RSS17,ACT_Total_RSS18,ACT_Total_RSS99
11/23/2020,1,52,39,43,16,172,49,2,1,0,5,23,21,24,35,76,0,0,559,0,5,5,8,8,34,4,0,0,0,0,6,2,8,5,11,0,0,96,1,57,44,51,24,206,53,2,1,0,5,29,23,32,40,87,0,0,655
11/22/2020,2,50,42,45,12,154,49,2,1,0,5,20,24,23,39,68,0,0,536,0,8,5,6,7,31,4,0,0,0,0,8,2,10,5,12,0,0,98,2,58,47,51,19,185,53,2,1,0,5,28,26,33,44,80,0,0,634
11/21/2020,2,54,43,43,13,151,50,2,1,0,5,21,24,28,36,66,0,0,539,0,7,5,9,8,33,3,0,0,0,0,8,2,9,4,15,0,0,103,2,61,48,52,21,184,53,2,1,0,5,29,26,37,40,81,0,0,642
11/20/2020,1,47,46,43,15,158,50,2,1,0,4,24,24,27,36,69,0,0,547,0,7,4,8,9,32,2,0,0,0,0,9,2,10,3,13,0,0,99,1,54,50,51,24,190,52,2,1,0,4,33,26,37,39,82,0,0,646
11/19/2020,0,41,44,40,14,155,54,2,0,0,7,24,20,23,37,67,0,0,528,0,10,5,8,8,29,2,0,0,0,0,8,2,10,3,11,0,0,96,0,51,49,48,22,184,56,2,0,0,7,32,22,33,40,78,0,0,624
11/18/2020,0,38,46,42,18,162,56,2,0,0,7,27,22,25,36,69,0,0,550,0,10,5,9,9,32,2,0,0,0,0,6,2,13,2,11,0,0,101,0,48,51,51,27,194,58,2,0,0,7,33,24,38,38,80,0,0,651
11/17/2020,1,36,46,36,19,165,58,2,0,0,7,23,20,25,43,71,0,0,552,0,9,6,10,9,31,3,0,0,0,0,6,1,12,1,12,0,0,100,1,45,52,46,28,196,61,2,0,0,7,29,21,37,44,83,0,0,652
11/16/2020,1,35,43,34,17,160,56,2,0,0,6,23,22,24,42,73,0,0,538,0,9,7,9,9,32,3,0,0,0,0,6,1,10,2,12,0,0,100,1,44,50,43,26,192,59,2,0,0,6,29,23,34,44,85,0,0,638
11/15/2020,0,34,39,32,19,141,55,2,0,0,6,24,23,23,39,67,0,0,504,0,8,7,7,5,28,2,0,0,0,0,6,0,10,3,11,0,0,87,0,42,46,39,24,169,57,2,0,0,6,30,23,33,42,78,0,0,591
11/14/2020,1,29,36,35,16,144,53,2,0,0,5,21,23,24,44,65,0,0,498,0,8,8,8,5,29,3,0,0,0,0,5,0,10,3,10,0,0,89,1,37,44,43,21,173,56,2,0,0,5,26,23,34,47,75,0,0,587
