Correctional facility;Number of detainees present at midnight;Number of detainees currently infected with COVID-19 (active cases);Number of detainees tested;Number of detainees testing positive
Amos;184;0;80;1
Baie-Comeau;35;0;11;0
Hull;158;0;26;6
Leclerc de Laval;147;0;117;0
Montréal;912;0;717;96
New Carlisle;53;27;163;46
Percé;26;0;57;0
Québec (female sector);30;0;59;0
Québec (male sector);467;1;523;1
Rimouski;91;0;72;1
Rivière-des-Prairies;460;0;162;8
Roberval;171;0;23;0
Saint-Jérôme;322;0;68;2
Sept-Îles;28;0;31;0
Sherbrooke;165;0;45;1
Sorel-Tracy;226;0;44;2
Trois-Rivières;189;0;550;19
Total;3664;28;2748;183
