"collected_date","reported_date","school_board","school_id","school","municipality","confirmed_student_cases","confirmed_staff_cases","confirmed_unspecified_cases","total_confirmed_cases","board.number","board.name","board.type","school.number","school.name","school.type","school.special.condition.code","school.level","school.language","grade.range","street","city","province","postal.code","enrolment","latitude","longitude","percentage.of.students.whose.first.language.is.not.english","percentage.of.students.whose.first.language.is.not.french","percentage.of.students.who.are.new.to.canada.from.a.non.english.speaking.country","percentage.of.students.who.are.new.to.canada.from.a.non.french.speaking.country","percentage.of.students.receiving.special.education.services","percentage.of.students.identified.as.gifted","percentage.of.school.aged.children.who.live.in.low.income.households","percentage.of.students.whose.parents.have.no.degree..diploma.or.certificate","confirmed_unidentified_cases"
2021-09-13,2021-09-14,"Avon Maitland District School Board","507725","Shakespeare Public School","Stratford",2,0," 0",2,"B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","507725","Shakespeare Public School","Public","Not applicable","Elementary","English","JK-6","35 Mowat St","Stratford","Ontario","N5A2B8","175",43.36207,-80.9829,0,100,0,0,15,0,20,10,0
2021-09-13,2021-09-14,"Bruce-Grey Catholic District School Board","732800","St Teresa of Calcutta Catholic School","Brockton",1,0," 0",1,"B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)","732800","St Teresa of Calcutta Catholic School","Catholic","Not applicable","Elementary","English","JK-8","81 Cemetery Rd","Walkerton","Ontario","N0G2V0","275",44.11552,-81.1478,0,100,5,0,20,0,15,5,0
2021-09-13,2021-09-14,"Catholic District School Board of Eastern Ontario","691127","J L Jordan Separate School","Brockville",0,1," 0",1,"B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)","691127","J L Jordan Separate School","Catholic","Not applicable","Elementary","English","JK-6","294 First Ave","Brockville","Ontario","K6V3B7","130",44.60939,-75.6797,0,100,0,0,20,0,20,0,0
2021-09-13,2021-09-14,"Catholic District School Board of Eastern Ontario","758787","Sacred Heart of Jesus Separate School","Lanark Highlands",0,1," 0",1,"B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)","758787","Sacred Heart of Jesus Separate School","Catholic","Not applicable","Elementary","English","JK-8","134 North St","Lanark","Ontario","K0G1K0","80",45.0189,-76.3693,0,100,0,0,30,0,30,0,0
2021-09-13,2021-09-14,"Catholic District School Board of Eastern Ontario","769312","St Andrew's Separate School","South Stormont",2,0," 0",2,"B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)","769312","St Andrew's Separate School","Catholic","Not applicable","Elementary","English","JK-8","17283 County Road 18","St. Andrew's West","Ontario","K0C2A0","205",45.0965,-74.8003,0,95,0,0,25,0,15,5,0
2021-09-13,2021-09-14,"Catholic District School Board of Eastern Ontario","814555","St. Mark Catholic School","Prescott",1,0," 0",1,"B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)","814555","St. Mark Catholic School","Catholic","Not applicable","Elementary","English","JK-8","420 McAuley Rd 4","Prescott","Ontario","K0E1T0","385",44.72303,-75.5147,0,100,0,0,25,0,20,5,0
2021-09-13,2021-09-14,"Catholic District School Board of Eastern Ontario","733067","St. Thomas Aquinas Catholic High School","Russell",0,1," 0",1,"B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)","733067","St. Thomas Aquinas Catholic High School","Catholic","Not applicable","Secondary","English","9-12","1211 South Russell Rd 2","Russell","Ontario","K4R1E5","465",45.2514,-75.3531,0,95,0,0,25,0,5,0,0
2021-09-13,2021-09-14,"Conseil des Ã©coles publiques de l'Est de l'Ontario","488291","Ã‰cole Ã©lÃ©mentaire publique Carrefour Jeunesse","Clarence-Rockland",1,0," 0",1,"B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)","488291","École élémentaire publique Carrefour Jeunesse","Public","Not applicable","Elementary","French","JK-8","927 St-Jean rue","Rockland","Ontario","K4K1P4","420",45.54392,-75.2882,80,20,0,0,15,0,10,5,0
2021-09-13,2021-09-14,"Conseil des Ã©coles publiques de l'Est de l'Ontario","412597","Ã‰cole Ã©lÃ©mentaire publique Charlotte Lemieux","Ottawa",2,0," 0",2,"B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)","412597","École élémentaire publique Charlotte Lemieux","Public","Not applicable","Elementary","French","JK-6","2093 Bel-Air promenade","Ottawa","Ontario","K2C0X2","490",45.36288,-75.7631,80,75,20,20,10,0,40,15,0
2021-09-13,2021-09-14,"Conseil des Ã©coles publiques de l'Est de l'Ontario","417726","Ã‰cole Ã©lÃ©mentaire publique Des Sentiers","Ottawa",1,0," 0",1,"B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)","417726","École élémentaire publique Des Sentiers","Public","Not applicable","Elementary","French","JK-6","2159 Nantes rue","Orléans","Ontario","K4A4C4","425",45.4595,-75.4612,75,45,0,5,0,0,10,0,0
