collected_date,reported_date,school_board,school_id,school,municipality,confirmed_student_cases,confirmed_staff_cases,confirmed_unspecified_cases,total_confirmed_cases
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),753203,École élémentaire catholique Roger-Saint-Denis,Ottawa,0,1,,1
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),793027,École élémentaire catholique Saint-François-d’Assise,Ottawa,1,0,,1
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),860573,École élémentaire catholique Sainte-Anne,Ottawa,1,0,,1
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),734314,École élémentaire catholique Laurier-Carrière,Ottawa,1,0,,1
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),750107,École intermédiaire catholique Franco-Ouest,Ottawa,1,0,,1
2020-09-10,2020-09-11,Conseil des écoles publiques de l’Est de l’Ontario,907430,École secondaire publique De La Salle,Ottawa,0,1,,1
2020-09-10,2020-09-11,Conseil Scolaire Viamonde,310415,École Ronald-Marion,Pickering,0,1,,1
2020-09-10,2020-09-11,Halton Catholic District School Board,821241,St. Marguerite d’Youville Catholic Elementary School,Oakville,0,1,,1
2020-09-10,2020-09-11,Halton District School Board,076727,Oodeenawi Public School,Oakville,0,1,,1
2020-09-10,2020-09-11,Peel District School Board,0,North Field Office,Brampton,0,1,,1
2020-09-10,2020-09-11,Peel District School Board,493318,Ross Drive Public School,Brampton,0,1,,1
2020-09-10,2020-09-11,Peel District School Board,061107,Briarwood Public School,Mississauga,0,1,,1
2020-09-10,2020-09-11,Waterloo Region District School Board,134618,Edna Staebler Public School,Waterloo,0,1,,1
2020-09-11,2020-09-14,nseil des écoles catholiques du Centre-Est (CECCE),753203,École élémentaire catholique Roger-Saint-Denis,Ottawa,0,1,,1
2020-09-11,2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),793027,École élémentaire catholique Saint-François-d’Assise,Ottawa,1,0,,1
2020-09-11,2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),860573,École élémentaire catholique Sainte-Anne,Ottawa,1,0,,1
2020-09-11,2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),734314,École élémentaire catholique Laurier-Carrière,Ottawa,1,0,,1
2020-09-11,2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),750107,École intermédiaire catholique Franco-Ouest,Ottawa,1,0,,1
2020-09-11,2020-09-14,Conseil des écoles publiques de l’Est de l’Ontario,907430,École secondaire publique De La Salle,Ottawa,0,1,,1
2020-09-11,2020-09-14,Conseil Scolaire Viamonde,310415,École Ronald-Marion,Pickering,0,1,,1
2020-09-11,2020-09-14,Halton Catholic District School Board,821241,St. Marguerite d’Youville Catholic Elementary School,Oakville,0,1,,1
2020-09-11,2020-09-14,Halton District School Board,076727,Oodeenawi Public School,Oakville,0,1,,1
2020-09-11,2020-09-14,Peel District School Board,0,North Field Office,Brampton,0,1,,1
2020-09-11,2020-09-14,Peel District School Board,493318,Ross Drive Public School,Brampton,0,1,,1
2020-09-11,2020-09-14,Peel District School Board,061107,Briarwood Public School,Mississauga,0,1,,1
2020-09-11,2020-09-14,Peel District School Board,918830,John Fraser Secondary School,Mississauga,1,0,,1
2020-09-11,2020-09-14,Renfrew County District School Board,925365,Fellowes High School,Pembroke,0,1,,1
2020-09-11,2020-09-14,Waterloo Region District School Board,134618,Edna Staebler Public School,Waterloo,0,1,,1
2020-09-14,2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),734314,École élémentaire catholique Laurier-Carrière,Ottawa,1,0,0,1
2020-09-14,2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),753157,École élémentaire catholique Marius-Barbeau,Ottawa,0,0,1,1
2020-09-14,2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),732397,École élémentaire catholique Montfort,Ottawa,0,0,1,1
2020-09-14,2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),753203,École élémentaire catholique Roger-Saint-Denis,Ottawa,0,1,0,1
2020-09-14,2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),860573,École élémentaire catholique Sainte-Anne,Ottawa,1,0,0,1
2020-09-14,2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),793027,École élémentaire catholique Saint-François-d’Assise,Ottawa,1,0,0,1
2020-09-14,2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),750107,École intermédiaire catholique Franco-Ouest,Ottawa,1,0,1,2
2020-09-14,2020-09-15,Conseil des écoles publiques de l’Est de l’Ontario,907430,École secondaire publique De La Salle,Ottawa,0,1,0,1
2020-09-14,2020-09-15,Conseil des écoles publiques de l’Est de l’Ontario,204986,École élémentaire publique Gabrielle-Roy,Ottawa,0,0,2,2
2020-09-14,2020-09-15,Conseil Scolaire Viamonde,310415,École Ronald-Marion,Pickering,0,1,0,1
2020-09-14,2020-09-15,Dufferin Peel Catholic District School Board,806919,St. Joseph Secondary School,Mississauga,1,0,0,1
2020-09-14,2020-09-15,Durham District School Board,328740,Mapleridge Public School,Pickering,1,0,0,1
2020-09-14,2020-09-15,Halton Catholic District School Board,821241,St. Marguerite d’Youville Catholic Elementary School,Oakville,0,1,0,1
2020-09-14,2020-09-15,Halton District School Board,076727,Oodeenawi Public School,Oakville,0,1,0,1
2020-09-14,2020-09-15,Peel District School Board,061107,Briarwood Public School,Mississauga,0,1,0,1
2020-09-14,2020-09-15,Peel District School Board,918830,John Fraser Secondary School,Mississauga,1,0,0,1
2020-09-14,2020-09-15,Peel District School Board,904203,Louise Arbour Secondary School,Brampton,1,0,0,1
2020-09-14,2020-09-15,Peel District School Board,0,North Field Office,Brampton,0,1,0,1
2020-09-14,2020-09-15,Peel District School Board,493318,Ross Drive Public School,Brampton,0,1,0,1
2020-09-14,2020-09-15,Peel District School Board,107280,Ruth Thompson Middle School,Mississauga,0,0,1,1
2020-09-14,2020-09-15,Renfrew County District School Board,925365,Fellowes High School,Pembroke,0,1,0,1
2020-09-14,2020-09-15,Toronto District School Board,054801,Bloordale Middle School,Toronto,0,1,0,1
2020-09-14,2020-09-15,Toronto District School Board,101737,Charles G Fraser Junior Public School,Toronto,0,1,0,1
2020-09-14,2020-09-15,Toronto District School Board,141380,Don Mills Middle School,Toronto,0,1,0,1
2020-09-14,2020-09-15,Toronto District School Board,158020,Earl Haig Public School,Toronto,0,1,0,1
2020-09-14,2020-09-15,Waterloo Region District School Board,134618,Edna Staebler Public School,Waterloo,0,1,0,1
2020-09-14,2020-09-15,York Region District School Board,016874,Little Rouge Public School,Markham,1,0,0,1
2020-09-15,2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),734314,École élémentaire catholique Laurier-Carrière,Ottawa,1,0,0,1
2020-09-15,2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),753157,École élémentaire catholique Marius-Barbeau,Ottawa,0,0,1,1
2020-09-15,2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),732397,École élémentaire catholique Montfort,Ottawa,0,0,1,1
2020-09-15,2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),753203,École élémentaire catholique Roger-Saint-Denis,Ottawa,0,1,0,1
2020-09-15,2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),860573,École élémentaire catholique Sainte-Anne,Ottawa,1,0,0,1
2020-09-15,2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),793027,École élémentaire catholique Saint-François-d’Assise,Ottawa,2,0,0,2
2020-09-15,2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),750107,École intermédiaire catholique Franco-Ouest,Ottawa,2,0,1,3
2020-09-15,2020-09-16,Conseil des écoles publiques de l’Est de l’Ontario,907430,École secondaire publique De La Salle,Ottawa,0,1,1,2
2020-09-15,2020-09-16,Conseil des écoles publiques de l’Est de l’Ontario,204986,École élémentaire publique Gabrielle-Roy,Ottawa,0,0,2,2
2020-09-15,2020-09-16,Conseil Scolaire Viamonde,310415,École Ronald-Marion,Pickering,0,1,0,1
2020-09-15,2020-09-16,Dufferin Peel Catholic District School Board,806919,St. Joseph Secondary School,Mississauga,1,0,0,1
2020-09-15,2020-09-16,Durham District School Board,328740,Mapleridge Public School,Pickering,1,0,0,1
2020-09-15,2020-09-16,Halton Catholic District School Board,821241,St. Marguerite d’Youville Catholic Elementary School,Oakville,0,1,0,1
2020-09-15,2020-09-16,Halton District School Board,076727,Oodeenawi Public School,Oakville,0,1,0,1
2020-09-15,2020-09-16,Peel District School Board,061107,Briarwood Public School,Mississauga,0,1,0,1
2020-09-15,2020-09-16,Peel District School Board,918830,John Fraser Secondary School,Mississauga,1,0,0,1
2020-09-15,2020-09-16,Peel District School Board,904203,Louise Arbour Secondary School,Brampton,1,0,0,1
2020-09-15,2020-09-16,Peel District School Board,0,North Field Office,Brampton,0,1,0,1
2020-09-15,2020-09-16,Peel District School Board,493318,Ross Drive Public School,Brampton,0,1,0,1
2020-09-15,2020-09-16,Peel District School Board,107280,Ruth Thompson Middle School,Mississauga,0,0,1,1
2020-09-15,2020-09-16,Renfrew County District School Board,925365,Fellowes High School,Pembroke,0,2,0,2
2020-09-15,2020-09-16,Toronto District School Board,054801,Bloordale Middle School,Toronto,0,1,0,1
2020-09-15,2020-09-16,Toronto District School Board,101737,Charles G Fraser Junior Public School,Toronto,0,1,0,1
2020-09-15,2020-09-16,Toronto District School Board,141380,Don Mills Middle School,Toronto,0,1,0,1
2020-09-15,2020-09-16,Toronto District School Board,906450,Earl Haig Secondary School,Toronto,0,1,0,1
2020-09-15,2020-09-16,Waterloo Region District School Board,134618,Edna Staebler Public School,Waterloo,0,1,0,1
2020-09-15,2020-09-16,York Region District School Board,016874,Little Rouge Public School,Markham,1,0,0,1
2020-09-15,2020-09-16,Peel District School Board,551422,The Valleys Senior Public School,Mississauga,0,0,1,1
2020-09-15,2020-09-16,Toronto District School Board,954810,York Mills Collegiate Institute,Toronto,0,1,0,1
2020-09-15,2020-09-16,Toronto District School Board,066508,Brookhaven Public School,Toronto,0,1,0,1
2020-09-15,2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),703753,École élémentaire catholique d'enseignement personnalisé La Source,Ottawa,1,0,0,1
2020-09-15,2020-09-16,Ottawa Catholic District School Board,708470,St Leonard Elementary School,Ottawa,1,0,0,1
2020-09-15,2020-09-16,Ottawa Catholic District School Board,759538,Monsignor Paul Baxter Elementary School,Ottawa,1,0,0,1
2020-09-15,2020-09-16,Simcoe County District School Board,948870,Twin Lakes Secondary School,Orillia,0,1,0,1
2020-09-15,2020-09-16,Windsor-Essex Catholic District School Board,859575,Stella Maris Catholic Elementary School,Amherstburg,1,0,0,1
2020-09-16,2020-09-17,Conseil des écoles catholiques du Centre-Est (CECCE),734314,École élémentaire catholique Laurier-Carrière,Ottawa,1,0,0,1
2020-09-16,2020-09-17,Conseil des écoles catholiques du Centre-Est (CECCE),753157,École élémentaire catholique Marius-Barbeau,Ottawa,0,1,0,1
2020-09-16,2020-09-17,Conseil des écoles catholiques du Centre-Est (CECCE),732397,École élémentaire catholique Montfort,Ottawa,0,1,0,1
2020-09-16,2020-09-17,Conseil des écoles catholiques du Centre-Est (CECCE),753203,École élémentaire catholique Roger-Saint-Denis,Ottawa,0,1,0,1
2020-09-16,2020-09-17,Conseil des écoles catholiques du Centre-Est (CECCE),860573,École élémentaire catholique Sainte-Anne,Ottawa,1,0,0,1
2020-09-16,2020-09-17,Conseil des écoles catholiques du Centre-Est (CECCE),793027,École élémentaire catholique Saint-François-d’Assise,Ottawa,2,0,0,2
2020-09-16,2020-09-17,Conseil des écoles catholiques du Centre-Est (CECCE),750107,École intermédiaire catholique Franco-Ouest,Ottawa,3,0,0,3
2020-09-16,2020-09-17,Conseil des écoles publiques de l’Est de l’Ontario,907430,École secondaire publique De La Salle,Ottawa,0,1,1,2
2020-09-16,2020-09-17,Conseil des écoles publiques de l’Est de l’Ontario,204986,École élémentaire publique Gabrielle-Roy,Ottawa,0,0,2,2
2020-09-16,2020-09-17,Conseil Scolaire Viamonde,310415,École Ronald-Marion,Pickering,0,1,0,1
2020-09-16,2020-09-17,Dufferin Peel Catholic District School Board,806919,St. Joseph Secondary School,Mississauga,1,0,0,1
2020-09-16,2020-09-17,Durham District School Board,328740,Mapleridge Public School,Pickering,1,0,0,1
2020-09-16,2020-09-17,Halton Catholic District School Board,821241,St. Marguerite d’Youville Catholic Elementary School,Oakville,0,1,0,1
2020-09-16,2020-09-17,Halton District School Board,076727,Oodeenawi Public School,Oakville,0,1,0,1
2020-09-16,2020-09-17,Peel District School Board,061107,Briarwood Public School,Mississauga,0,1,0,1
2020-09-16,2020-09-17,Peel District School Board,918830,John Fraser Secondary School,Mississauga,1,0,0,1
2020-09-16,2020-09-17,Peel District School Board,904203,Louise Arbour Secondary School,Brampton,1,0,0,1
2020-09-16,2020-09-17,Peel District School Board,0,North Field Office,Brampton,0,1,0,1
2020-09-16,2020-09-17,Peel District School Board,493318,Ross Drive Public School,Brampton,0,1,0,1
2020-09-16,2020-09-17,Peel District School Board,107280,Ruth Thompson Middle School,Mississauga,0,0,1,1
2020-09-16,2020-09-17,Renfrew County District School Board,925365,Fellowes High School,Pembroke,0,3,0,3
2020-09-16,2020-09-17,Toronto District School Board,054801,Bloordale Middle School,Toronto,0,1,0,1
2020-09-16,2020-09-17,Toronto District School Board,101737,Charles G Fraser Junior Public School,Toronto,0,1,0,1
2020-09-16,2020-09-17,Toronto District School Board,141380,Don Mills Middle School,Toronto,0,1,0,1
2020-09-16,2020-09-17,Toronto District School Board,906450,Earl Haig Secondary School,Toronto,0,1,0,1
2020-09-16,2020-09-17,Waterloo Region District School Board,134618,Edna Staebler Public School,Waterloo,0,1,0,1
2020-09-16,2020-09-17,York Region District School Board,016874,Little Rouge Public School,Markham,1,0,0,1
2020-09-16,2020-09-17,Peel District School Board,551422,The Valleys Senior Public School,Mississauga,0,0,1,1
2020-09-16,2020-09-17,Toronto District School Board,954810,York Mills Collegiate Institute,Toronto,0,1,0,1
2020-09-16,2020-09-17,Toronto District School Board,066508,Brookhaven Public School,Toronto,0,1,0,1
2020-09-16,2020-09-17,Conseil des écoles catholiques du Centre-Est (CECCE),703753,École élémentaire catholique d'enseignement personnalisé La Source,Ottawa,1,0,0,1
2020-09-16,2020-09-17,Ottawa Catholic District School Board,708470,St Leonard Elementary School,Ottawa,2,0,0,2
2020-09-16,2020-09-17,Ottawa Catholic District School Board,759538,Monsignor Paul Baxter Elementary School,Ottawa,1,0,0,1
2020-09-16,2020-09-17,Simcoe County District School Board,948870,Twin Lakes Secondary School,Orillia,0,1,0,1
2020-09-16,2020-09-17,Windsor-Essex Catholic District School Board,859575,Stella Maris Catholic Elementary School,Amherstburg,1,0,0,1
2020-09-16,2020-09-17,Toronto District School Board,940623,School for Experiential Education,Toronto,0,1,0,1
2020-09-16,2020-09-17,Peel District School Board,372978,Mountain Ash Public School,Brampton,0,0,1,1
2020-09-16,2020-09-17,Peel District School Board,487414,Robert J. Lee Public School,Brampton,0,0,1,1
2020-09-16,2020-09-17,York Region District School Board,055131,Blue Willow Public School,Woodbridge,0,0,1,1
2020-09-16,2020-09-17,Conseil des écoles catholiques du Centre-Est (CECCE),752625,École élémentaire catholique Saint-Rémi,Ottawa,1,0,0,1
2020-09-16,2020-09-17,Conseil des écoles publiques de l’Est de l’Ontario,904945,École secondaire publique Louis-Riel,Ottawa,0,0,1,1
2020-09-16,2020-09-17,Ottawa Catholic District School Board,864609,Holy Cross Elementary School,Ottawa,1,0,0,1
2020-09-16,2020-09-17,Peel District School Board,595134,Ingleborough Public School,Brampton,0,0,1,1
2020-09-16,2020-09-17,Peel District School Board,067723,Tribune Drive Public School,Brampton,0,0,1,1
2020-09-16,2020-09-17,Peel District School Board,614238,William Parkway Public School,Brampton,0,0,1,1
2020-09-16,2020-09-17,Dufferin Peel Catholic District School Board,858420,St. Valentine Elementary School,Mississauga,0,0,1,1
2020-09-16,2020-09-17,Peel District School Board,166936,Eden Rose Public School,Brampton,0,0,1,1
2020-09-16,2020-09-17,Dufferin Peel Catholic District School Board,847933,St. Raphael Elementary School,Mississauga,0,0,2,2
2020-09-16,2020-09-17,York Region District School Board,563982,Dr. Roberta Bondar Public School,Maple,0,0,1,1
2020-09-16,2020-09-17,Waterloo Catholic District School Board,770876,St Anne Catholic Elementary School ,Cambridge ,1,0,0,1
2020-09-16,2020-09-17,York Region District School Board,516244,Sir Wilfrid Laurier Public School,Markham,0,0,1,1
2020-09-17,2020-09-18,Conseil des écoles catholiques du Centre-Est (CECCE),703753,École élémentaire catholique d'enseignement personnalisé La Source,Ottawa,1,0,0,1
2020-09-17,2020-09-18,Conseil des écoles catholiques du Centre-Est (CECCE),734314,École élémentaire catholique Laurier-Carrière,Ottawa,1,0,0,1
2020-09-17,2020-09-18,Conseil des écoles catholiques du Centre-Est (CECCE),753157,École élémentaire catholique Marius-Barbeau,Ottawa,0,1,0,1
2020-09-17,2020-09-18,Conseil des écoles catholiques du Centre-Est (CECCE),732397,École élémentaire catholique Montfort,Ottawa,0,1,0,1
2020-09-17,2020-09-18,Conseil des écoles catholiques du Centre-Est (CECCE),753203,École élémentaire catholique Roger-Saint-Denis,Ottawa,0,1,0,1
2020-09-17,2020-09-18,Conseil des écoles catholiques du Centre-Est (CECCE),860573,École élémentaire catholique Sainte-Anne,Ottawa,1,0,0,1
2020-09-17,2020-09-18,Conseil des écoles catholiques du Centre-Est (CECCE),793027,École élémentaire catholique Saint-François-d’Assise,Ottawa,2,0,0,2
2020-09-17,2020-09-18,Conseil des écoles catholiques du Centre-Est (CECCE),156159,École élémentaire catholique Saint-Jean-Paul II,Ottawa,1,0,0,1
2020-09-17,2020-09-18,Conseil des écoles catholiques du Centre-Est (CECCE),752625,École élémentaire catholique Saint-Rémi,Ottawa,1,0,0,1
2020-09-17,2020-09-18,Conseil des écoles catholiques du Centre-Est (CECCE),750107,École intermédiaire catholique Franco-Ouest,Ottawa,3,0,0,3
2020-09-17,2020-09-18,Conseil des écoles publiques de l’Est de l’Ontario,204986,École élémentaire publique Gabrielle-Roy,Ottawa,0,0,2,2
2020-09-17,2020-09-18,Conseil des écoles publiques de l’Est de l’Ontario,247352,École élémentaire publique Maurice-Lapointe,Ottawa,1,0,0,1
2020-09-17,2020-09-18,Conseil des écoles publiques de l’Est de l’Ontario,907430,École secondaire publique De La Salle,Ottawa,0,1,1,2
2020-09-17,2020-09-18,Conseil des écoles publiques de l’Est de l’Ontario,904945,École secondaire publique Louis-Riel,Ottawa,0,0,1,1
2020-09-17,2020-09-18,Conseil Scolaire Viamonde,310415,École Ronald-Marion,Pickering,0,1,0,1
2020-09-17,2020-09-18,Dufferin Peel Catholic District School Board,781819,St. Cecilia Elementary School,Brampton,0,0,1,1
2020-09-17,2020-09-18,Dufferin Peel Catholic District School Board,806919,St. Joseph Secondary School,Mississauga,1,0,0,1
2020-09-17,2020-09-18,Dufferin Peel Catholic District School Board,847933,St. Raphael Elementary School,Mississauga,0,0,2,2
2020-09-17,2020-09-18,Durham District School Board,328740,Mapleridge Public School,Pickering,1,0,0,1
2020-09-17,2020-09-18,Durham District School Board,394819,Nottingham Public School,Ajax,1,0,0,1
2020-09-17,2020-09-18,Halton Catholic District School Board,821241,St. Marguerite d’Youville Catholic Elementary School,Oakville,0,1,0,1
2020-09-17,2020-09-18,Halton Catholic District School Board,854212,St. Thomas Aquinas Catholic Secondary School,Oakville,0,0,1,1
2020-09-17,2020-09-18,Halton District School Board,206470,Emily Carr Public School,Oakville,0,0,1,1
2020-09-17,2020-09-18,Halton District School Board,076727,Oodeenawi Public School,Oakville,0,1,0,1
2020-09-17,2020-09-18,Ottawa Catholic District School Board,864609,Holy Cross Elementary School,Ottawa,1,0,0,1
2020-09-17,2020-09-18,Ottawa Catholic District School Board,718408,Holy Spirit Elementary School,Ottawa,1,0,0,1
2020-09-17,2020-09-18,Ottawa Catholic District School Board,759538,Monsignor Paul Baxter Elementary School,Ottawa,1,0,0,1
2020-09-17,2020-09-18,Ottawa Catholic District School Board,708470,St Leonard Elementary School,Ottawa,2,0,0,2
2020-09-17,2020-09-18,Peel District School Board,061107,Briarwood Public School,Mississauga,0,1,0,1
2020-09-17,2020-09-18,Peel District School Board,166936,Edenrose Public School,Mississauga,0,0,1,1
2020-09-17,2020-09-18,Peel District School Board,201073,Folkstone Public School,Brampton,0,0,1,1
2020-09-17,2020-09-18,Peel District School Board,221538,Goldcrest Public School,Brampton,0,0,2,2
2020-09-17,2020-09-18,Peel District School Board,595134,Ingleborough Public School,Brampton,0,0,1,1
2020-09-17,2020-09-18,Peel District School Board,918830,John Fraser Secondary School,Mississauga,1,0,0,1
2020-09-17,2020-09-18,Peel District School Board,904203,Louise Arbour Secondary School,Brampton,1,0,0,1
2020-09-17,2020-09-18,Peel District School Board,372978,Mountain Ash Public School,Brampton,0,0,1,1
2020-09-17,2020-09-18,Peel District School Board,0,North Field Office,Brampton,0,1,0,1
2020-09-17,2020-09-18,Peel District School Board,487414,Robert J. Lee Public School,Brampton,0,0,1,1
2020-09-17,2020-09-18,Peel District School Board,493318,Ross Drive Public School,Brampton,0,1,0,1
2020-09-17,2020-09-18,Peel District School Board,107280,Ruth Thompson Middle School,Mississauga,0,0,1,1
2020-09-17,2020-09-18,Peel District School Board,551422,The Valleys Senior Public School,Mississauga,0,0,1,1
2020-09-17,2020-09-18,Peel District School Board,067723,Tribune Drive Public School,Brampton,0,0,1,1
2020-09-17,2020-09-18,Peel District School Board,614238,William Parkway Public School,Brampton,0,0,1,1
2020-09-17,2020-09-18,Renfrew County District School Board,925365,Fellowes High School,Pembroke,0,3,0,3
2020-09-17,2020-09-18,Simcoe County District School Board,948870,Twin Lakes Secondary School,Orillia,0,1,0,1
2020-09-17,2020-09-18,Toronto District School Board,054801,Bloordale Middle School,Toronto,0,1,0,1
2020-09-17,2020-09-18,Toronto District School Board,066508,Brookhaven Public School,Toronto,0,1,0,1
2020-09-17,2020-09-18,Toronto District School Board,101737,Charles G Fraser Junior Public School,Toronto,0,1,0,1
2020-09-17,2020-09-18,Toronto District School Board,141380,Don Mills Middle School,Toronto,0,1,0,1
2020-09-17,2020-09-18,Toronto District School Board,906450,Earl Haig Secondary School,Toronto,0,1,0,1
2020-09-17,2020-09-18,Toronto District School Board,940623,School for Experiential Education,Toronto,0,1,0,1
2020-09-17,2020-09-18,Toronto District School Board,954683,York Memorial Collegiate Institute,Toronto,1,0,0,1
2020-09-17,2020-09-18,Toronto District School Board,954810,York Mills Collegiate Institute,Toronto,0,1,0,1
2020-09-17,2020-09-18,Waterloo Catholic District School Board,770876,St Anne Catholic Elementary School ,Cambridge ,1,0,0,1
2020-09-17,2020-09-18,Waterloo Region District School Board,134618,Edna Staebler Public School,Waterloo,0,1,0,1
2020-09-17,2020-09-18,Windsor-Essex Catholic District School Board,859575,Stella Maris Catholic Elementary School,Amherstburg,1,0,0,1
2020-09-17,2020-09-18,York Region District School Board,055131,Blue Willow Public School,Woodbridge,0,0,1,1
2020-09-17,2020-09-18,York Region District School Board,563982,Dr. Roberta Bondar Public School,Maple,0,0,1,1
2020-09-17,2020-09-18,York Region District School Board,016874,Little Rouge Public School,Markham,1,0,0,1
2020-09-17,2020-09-18,York Region District School Board,516244,Sir Wilfrid Laurier Public School,Markham,0,0,1,1
2020-09-18,2020-09-21,Conseil des écoles catholiques du Centre-Est (CECCE),734314,École élémentaire catholique Laurier-Carrière,Ottawa,1,0,0,1
2020-09-18,2020-09-21,Conseil des écoles catholiques du Centre-Est (CECCE),753157,École élémentaire catholique Marius-Barbeau,Ottawa,0,1,0,1
2020-09-18,2020-09-21,Conseil des écoles catholiques du Centre-Est (CECCE),732397,École élémentaire catholique Montfort,Ottawa,0,1,0,1
2020-09-18,2020-09-21,Conseil des écoles catholiques du Centre-Est (CECCE),753203,École élémentaire catholique Roger-Saint-Denis,Ottawa,0,1,0,1
2020-09-18,2020-09-21,Conseil des écoles catholiques du Centre-Est (CECCE),860573,École élémentaire catholique Sainte-Anne,Ottawa,1,0,0,1
2020-09-18,2020-09-21,Conseil des écoles catholiques du Centre-Est (CECCE),793027,École élémentaire catholique Saint-François-d’Assise,Ottawa,2,0,0,2
2020-09-18,2020-09-21,Conseil des écoles catholiques du Centre-Est (CECCE),750107,École intermédiaire catholique Franco-Ouest,Ottawa,3,0,0,3
2020-09-18,2020-09-21,Conseil des écoles publiques de l’Est de l’Ontario,907430,École secondaire publique De La Salle,Ottawa,0,1,1,2
2020-09-18,2020-09-21,Conseil des écoles publiques de l’Est de l’Ontario,204986,École élémentaire publique Gabrielle-Roy,Ottawa,0,0,2,2
2020-09-18,2020-09-21,Conseil Scolaire Viamonde,310415,École Ronald-Marion,Pickering,0,1,0,1
2020-09-18,2020-09-21,Dufferin Peel Catholic District School Board,806919,St. Joseph Secondary School,Mississauga,1,0,0,1
2020-09-18,2020-09-21,Durham District School Board,328740,Mapleridge Public School,Pickering,1,0,0,1
2020-09-18,2020-09-21,Halton Catholic District School Board,821241,St. Marguerite d’Youville Catholic Elementary School,Oakville,0,1,0,1
2020-09-18,2020-09-21,Halton District School Board,076727,Oodeenawi Public School,Oakville,0,1,0,1
2020-09-18,2020-09-21,Peel District School Board,061107,Briarwood Public School,Mississauga,0,1,0,1
2020-09-18,2020-09-21,Peel District School Board,918830,John Fraser Secondary School,Mississauga,1,0,0,1
2020-09-18,2020-09-21,Peel District School Board,904203,Louise Arbour Secondary School,Brampton,1,0,0,1
2020-09-18,2020-09-21,Peel District School Board,0,North Field Office,Brampton,0,1,0,1
2020-09-18,2020-09-21,Peel District School Board,493318,Ross Drive Public School,Brampton,0,1,0,1
2020-09-18,2020-09-21,Peel District School Board,107280,Ruth Thompson Middle School,Mississauga,0,0,1,1
2020-09-18,2020-09-21,Renfrew County District School Board,925365,Fellowes High School,Pembroke,1,4,0,5
2020-09-18,2020-09-21,Toronto District School Board,054801,Bloordale Middle School,Toronto,0,1,0,1
2020-09-18,2020-09-21,Toronto District School Board,101737,Charles G Fraser Junior Public School,Toronto,0,1,0,1
2020-09-18,2020-09-21,Toronto District School Board,141380,Don Mills Middle School,Toronto,0,1,0,1
2020-09-18,2020-09-21,Toronto District School Board,906450,Earl Haig Secondary School,Toronto,0,1,0,1
2020-09-18,2020-09-21,Waterloo Region District School Board,134618,Edna Staebler Public School,Waterloo,0,1,0,1
2020-09-18,2020-09-21,York Region District School Board,016874,Little Rouge Public School,Markham,1,0,0,1
2020-09-18,2020-09-21,Peel District School Board,551422,The Valleys Senior Public School,Mississauga,0,0,1,1
2020-09-18,2020-09-21,Toronto District School Board,954810,York Mills Collegiate Institute,Toronto,0,1,0,1
2020-09-18,2020-09-21,Toronto District School Board,066508,Brookhaven Public School,Toronto,0,1,0,1
2020-09-18,2020-09-21,Conseil des écoles catholiques du Centre-Est (CECCE),703753,École élémentaire catholique d'enseignement personnalisé La Source,Ottawa,1,0,0,1
2020-09-18,2020-09-21,Ottawa Catholic District School Board,708470,St Leonard Elementary School,Ottawa,2,0,0,2
2020-09-18,2020-09-21,Ottawa Catholic District School Board,759538,Monsignor Paul Baxter Elementary School,Ottawa,1,0,0,1
2020-09-18,2020-09-21,Simcoe County District School Board,948870,Twin Lakes Secondary School,Orillia,0,1,0,1
