Academic Year|School Number|School Name|School Level|Elementary Male Enrolment|Elementary Female Enrolment|Secondary Male Enrolment|Secondary Female Enrolment|Total Male Enrolment|Total Female Enrolment
2018-2019|882408|3sixty Education|Secondary|||<10|<10|SP|SP
2018-2019|880655|A R S Armenian Private School|Elem/Sec|230|200|70|55|300|255
2018-2019|885186|A+ Academy of Advancement|Elem/Sec|<10|<10|25|30|SP|SP
2018-2019|668377|A+ Academy of Advancement - Mississauga|Elem/Sec||<10|<10||SP|SP
2018-2019|669367|A21 Academy|Elem/Sec|15|<10|25|<10|35|SP
2018-2019|877417|ABC Montessori Private School|Elementary|50|50|||50|50
2018-2019|884091|ACE Acumen High School|Secondary|||10|<10|10|SP
2018-2019|879231|AFNORTH International School|Secondary|||25|30|25|30
2018-2019|666320|AI-Manarat Heights|Elementary|70|55|||70|55
2018-2019|886708|AIM KW School|Elementary|20|15|||20|15
2018-2019|668692|AIS Elementary School (Aurora Internatio|Elementary|<10|<10|||SP|SP
2018-2019|669799|AIS School|Elementary|<10|10|||SP|10
2018-2019|882622|ALIF Canada|Elem/Sec|75|85|20|20|95|105
2018-2019|668910|ASK Online Canada|Secondary|||<10||SP|
2018-2019|667321|AVRO Academy|Secondary|||40|15|40|15
2018-2019|669111|Abacus Montessori & Private School|Elementary|10|10|||10|10
2018-2019|877808|Abelard Centre for Education, The|Elem/Sec|10||20|15|30|15
2018-2019|665161|Above and Beyond Learning Experience Inc|Elem/Sec|<10||<10|<10|SP|SP
2018-2019|878987|Abraar|Elem/Sec|40|25|25|15|65|40
2018-2019|889470|Abraar School - Elementary|Elementary|185|180|||185|180
2018-2019|886295|Abu Huraira Center Academy|Elementary|25|40|||25|40
2018-2019|883960|Abubakr Education Academy|Elementary|65|70|||65|70
2018-2019|668358|Acacia International High School|Secondary|||15|15|15|15
2018-2019|884149|Academia Stella Maris|Elementary|10|10|||10|10
2018-2019|876330|Academy for Gifted Children, The (PACE)|Elem/Sec|140|120|45|25|185|145
2018-2019|883027|Academy of Excellence|Secondary|||<10|10|SP|10
2018-2019|668763|Academy of Learning College|Elem/Sec|<10|<10|<10|<10|SP|SP
2018-2019|668977|Academy of Math and English|Secondary|||15|15|15|15
2018-2019|668797|Academy of New Echo Education|Elementary|10|15|||10|15
2018-2019|669883|Academy of Royal International Education|Secondary|||<10|<10|SP|SP
2018-2019|666548|Académie Providence Soeurs Antonines|Elementary|60|45|||60|45
2018-2019|876275|Académie Ste Cécile International|Elem/Sec|80|75|75|55|150|130
2018-2019|878731|Académie de la Capitale|Elem/Sec|30|20|<10|<10|SP|SP
2018-2019|668878|Ace Acumen Online School|Secondary|||<10|<10|SP|SP
2018-2019|884408|Acheron College (Beaver Creek/Fenbrook)|Secondary|||80||80|
2018-2019|880977|Acheron College (Collins Bay)|Secondary|||130||130|
2018-2019|669520|Acheron College (Grand Valley)|Elem/Sec|<10||<10|70|SP|70
2018-2019|881692|Acheron College (Joyceville/Pittsburgh)|Secondary|||135|<10|135|SP
2018-2019|667407|Acheron College (Millhaven/Bath)|Secondary|||165||165|
2018-2019|881407|Acheron College (Warkworth)|Secondary|||90||90|
2018-2019|877514|Adelfiha's Christian Academy|Elementary|10|<10|||10|SP
2018-2019|663832|Adults in Motion Private School|Secondary|||<10|15|SP|15
2018-2019|665717|Adventist Christian Elementary School|Elementary|15|10|||15|10
2018-2019|667455|Afzal Islamic Montessori & Academy|Elementary|<10|15|||SP|15
2018-2019|875546|Agate Private School|Elem/Sec|<10|<10|<10|<10|SP|SP
2018-2019|883230|Agincourt International Academy|Secondary|||60|35|60|35
2018-2019|878456|Agincourt Montessori School Inc|Elementary|<10|<10|||SP|SP
2018-2019|665991|Ahlul Bayt Islamic School|Elem/Sec|75|90|<10|<10|SP|SP
2018-2019|883477|Ahmadiyya Elementary School|Elementary|65|85|||65|85
2018-2019|882545|Aims High School|Elem/Sec|||<10|<10|SP|SP
2018-2019|877760|Al Azhar Islamic School|Elementary|25|40|||25|40
2018-2019|881297|Al Furqan School|Elementary|15|25|||15|25
2018-2019|883124|Al Haadi (9828770 Canada Institute)|Elementary|40|40|||40|40
2018-2019|669831|Al Huda Elementary School|Elementary|160|240|||160|240
2018-2019|884792|Al-Ameen Elementary School|Elementary|95|110|||95|110
2018-2019|887920|Al-Azhar Academy of Canada|Elementary|75|75|||75|75
2018-2019|878472|Al-Falah Islamic|Elementary|95|115|||95|115
2018-2019|667583|Al-Hidayah Academy Inc|Elem/Sec|35|15|||35|15
2018-2019|878090|Al-Hijra|Elementary|145|165|||145|165
2018-2019|886011|Al-Ikhlaas Foundation School|Elem/Sec|20|15|25|15|45|30
2018-2019|876585|Al-Iman School|Elementary|20|15|||20|15
2018-2019|876003|Al-Madrasah Al-Inamiyyah Private School|Secondary|||<10|<10|SP|SP
2018-2019|667350|Al-Qasim Academy|Elementary|15|<10|||15|SP
2018-2019|667550|Al-Rassool Islamic School|Elementary|<10|10|||SP|10
2018-2019|665670|Al-Risala Academy|Elem/Sec|50|55|45|40|95|95
2018-2019|669858|Al-Sadeq Academy|Elementary|25|35|||25|35
2018-2019|665037|Al-Taqwa Academy|Elem/Sec|85|65|25|25|110|90
2018-2019|669761|Alathena International Academy|Secondary|||45|25|45|25
2018-2019|884813|Alathena International Academy - Brimley|Secondary|||<10|<10|SP|SP
2018-2019|669020|Alathena International Academy - Elgin M|Secondary|||<10|<10|SP|SP
2018-2019|883349|Alathena International Academy - Finch W|Secondary|||<10|<10|SP|SP
2018-2019|884699|Alathena International Academy - Markham|Secondary|||35|30|35|30
2018-2019|884721|Alathena International Academy - Richmon|Secondary|||15|15|15|15
2018-2019|885126|Albert College|Elem/Sec|75|65|70|70|150|135
2018-2019|666998|Alborz Education Centre|Elem/Sec|<10|<10|75|40|SP|SP
2018-2019|669480|Alfajrul Bassem Academy|Elementary|<10|15|||SP|15
2018-2019|887189|Alive Christian Academy International|Elem/Sec|<10|<10|<10||SP|SP
2018-2019|883467|Alive Montessori & Private School|Elementary|<10|<10|||SP|SP
2018-2019|666085|Alliance Coaching Academy|Secondary|||20|15|20|15
2018-2019|881724|Alliston Community Christian School|Elementary|35|30|||35|30
2018-2019|882302|Alpha Quality Education Inc|Secondary|||25|25|25|25
2018-2019|668857|Alpha Star High School|Secondary|||15|<10|15|SP
2018-2019|882017|Amairah Private School (APS)|Elem/Sec|||10|15|10|15
2018-2019|882652|Amanah Academy North America Foundation|Elem/Sec|35|65|<10|20|SP|85
2018-2019|669258|Ambassadors Christian School|Elementary|<10|10|||SP|10
2018-2019|667063|Amberson College|Secondary|||35|20|35|20
2018-2019|884298|Amberson High School|Secondary|||45|30|45|30
2018-2019|887447|Amish Parochial School #1|Elementary|15|15|||15|15
2018-2019|887846|Amish Parochial School #2|Elementary|15|25|||15|25
2018-2019|887854|Amish Parochial School #3|Elementary|15|15|||15|15
2018-2019|889687|Amish Parochial School #5|Elementary|<10|10|||SP|10
2018-2019|882631|Amish Parochial School #6|Elementary|<10|<10|||SP|SP
2018-2019|876364|Amish Parochial School #7|Elementary|<10|15|||SP|15
2018-2019|665285|Amish Parochial school #8|Elementary|15|15|||15|15
2018-2019|877115|An-Noor Private School|Elementary|125|150|||125|150
2018-2019|886428|Apollo High School|Secondary|||<10|<10|SP|SP
2018-2019|885924|Appleby College|Elem/Sec|70|60|320|310|390|370
2018-2019|666009|Applewood Academy|Elem/Sec|<10|<10|<10|<10|15|SP
2018-2019|882456|Applewood Academy and Daycare|Elementary|<10|15|||SP|15
2018-2019|666599|Aristotele's Credit School|Secondary|||70|85|70|85
2018-2019|665719|Arkana Education|Secondary|||<10|<10|SP|SP
2018-2019|880779|Arrowsmith School|Elem/Sec|30|<10|<10|<10|SP|SP
2018-2019|668374|Arrowsmith School Peterborough|Elem/Sec|10|10|<10|<10|SP|SP
2018-2019|665378|Arthur Christian School|Elem/Sec|80|70|<10|<10|SP|SP
2018-2019|667420|Arts and Science Academy of Canada|Elem/Sec|<10|20||<10|SP|SP
2018-2019|876798|As-Sadiq Islamic|Elem/Sec|300|365|30|25|335|395
2018-2019|886297|Ashbury College|Elem/Sec|105|80|275|255|380|335
2018-2019|881729|Aspiration Academy|Elementary|15|<10|||15|SP
2018-2019|889156|Associated Hebrew Schools of Toronto|Elementary|170|140|||170|140
2018-2019|887315|Associated Hebrew Schools of Toronto|Elementary|315|345|||315|345
2018-2019|666610|Astolot Education Centre|Elem/Sec|25|<10|10|<10|35|SP
2018-2019|668383|Astrum Academy|Elementary|<10|<10|||SP|SP
2018-2019|669486|At Last Forest School - Owen Sound|Elementary|25|15|||25|15
2018-2019|665230|At Last Forest School - Port Elgin|Elementary|<10|<10|||SP|SP
2018-2019|667562|At Last Forest School Kincardine|Elementary|20|<10|||20|SP
2018-2019|877212|Attercliffe Canadian Reformed Elementary|Elementary|70|80|||70|80
2018-2019|884995|Aurora Montessori School|Elem/Sec|135|140|||135|140
2018-2019|885099|Aurora Preparatory Academy|Elementary|50|40|||50|40
2018-2019|669532|Autumn Hill Academy|Elementary|35|35|||35|35
2018-2019|666815|Avalon Children's Montessori School|Elementary|30|25|||30|25
2018-2019|663581|Baibombeh Anishinabe School|Elem/Sec|||20|10|20|10
2018-2019|885730|Baig Academy|Secondary|||35|25|35|25
2018-2019|877662|Bais Chaya Mushka|Elementary||245||||245
2018-2019|878774|Bais Chomesh High School for Girls|Secondary||||95||95
2018-2019|888486|Bais Yaakov Elementary School|Elementary||905||||905
2018-2019|887583|Baitul Mukarram Academy - Boys Section|Elementary|<10|25|||SP|25
2018-2019|887316|Balanced Education Network B.E.N. School|Elementary|15|<10|||15|SP
2018-2019|887463|Balsam Grove Parochial|Elementary|15|10|||15|10
2018-2019|876135|Bannockburn School|Elementary|70|50|||70|50
2018-2019|883576|Barrie Montessori & Elementary Private S|Elementary|30|35|||30|35
2018-2019|663670|Batchewana Learning Centre|Secondary|||25|25|25|25
2018-2019|668088|Bay School of Canada|Secondary||||<10||SP
2018-2019|881988|Bayfield School|Elem/Sec|<10|<10|15|<10|SP|SP
2018-2019|887188|Bayview Glen|Elem/Sec|125|120|155|160|280|280
2018-2019|884645|Bayview Glen (Elementary)|Elementary|205|205|||205|205
2018-2019|886319|Beacon Christian Elementary School|Elementary|120|135|||120|135
2018-2019|666670|Beacon House International College|Elem/Sec|<10||<10|<10|SP|SP
2018-2019|666413|Beacon Mile Academy|Secondary|||<10|<10|SP|SP
2018-2019|668904|Beacon of Light Private Elementary Schoo|Elementary|<10|<10|||SP|SP
2018-2019|884634|Beaver Valley Parochial School|Elementary|20|15|||20|15
2018-2019|668367|Beaverbrook Math Academy|Secondary|||25|30|25|30
2018-2019|666432|Behaviour Innovations, Children's Colleg|Elementary|<10|<10|||SP|SP
2018-2019|886521|Belleville District Christian School|Elementary|40|45|||40|45
2018-2019|886209|Belleville Montessori School|Elementary|20|20|||20|20
2018-2019|665087|Bellstone Christian School|Elementary|60|60|||60|60
2018-2019|667602|Berean Baptist Church and Academy|Elem/Sec|<10|<10|<10|<10|SP|SP
2018-2019|882842|Berkeley Academy of Canada|Secondary|||<10|<10|SP|SP
2018-2019|887196|Beth Jacob Private School|Secondary||||240||240
2018-2019|889024|Bethel Baptist Academy|Elem/Sec|<10|<10|<10|<10|15|10
2018-2019|665301|Bethune International Academy|Secondary|||<10|<10|SP|SP
2018-2019|884506|Bethune Memorial School|Secondary|||30|20|30|20
2018-2019|667698|Beyond Montessori School Inc.|Elementary|15|15|||15|15
2018-2019|887200|Bialik Hebrew Day School|Elementary|545|575|||545|575
2018-2019|884706|Bibleway Ministries Christian Learning C|Elementary|<10|15|||SP|15
2018-2019|663816|Biigtigong Nishnaabeg|Secondary|||25|15|25|15
2018-2019|663582|Bimose Community High School|Secondary|||15|20|15|20
2018-2019|885865|Birchas Shmuel|Secondary|||10||10|
2018-2019|665048|Birmingham Academy|Secondary|||<10||SP|
2018-2019|668260|Birmingham Int'l Collegiate of Can|Secondary|||300|280|300|280
2018-2019|883808|Bishop Hamilton Montessori School|Elementary|65|55|||65|55
2018-2019|886840|Bishop Strachan School, The|Elem/Sec||415||485||900
2018-2019|668131|Black Creek Parochial|Elementary|10|<10|||10|SP
2018-2019|888893|Blaisdale Montessori|Elementary|380|345|||380|345
2018-2019|884414|Blue Gene Education|Secondary|||<10|<10|SP|SP
2018-2019|668997|Blue Sky School|Elem/Sec|<10|10|<10|<10|SP|SP
2018-2019|885564|Blueberry Creek Forest School & Nature C|Elementary|20|10|||20|10
2018-2019|887422|Blyth Academy - Burlington|Elem/Sec|<10|<10|35|25|SP|SP
2018-2019|883574|Blyth Academy - Lawrence Park|Secondary|||105|110|105|110
2018-2019|668286|Blyth Academy - London|Secondary|||60|15|60|15
2018-2019|885121|Blyth Academy - Ottawa|Elem/Sec|<10|<10|10|<10|SP|SP
2018-2019|666899|Blyth Academy - Whitby|Secondary|||25|35|25|35
2018-2019|888339|Blyth Academy @ CIHA|Elem/Sec|<10||70||SP|
2018-2019|886220|Blyth Academy Downsview Park|Elem/Sec|20|<10|45|10|65|SP
2018-2019|885111|Blyth Academy Etobicoke|Secondary|||30|20|30|20
2018-2019|666976|Blyth Academy Global High School|Secondary|||20|30|20|30
2018-2019|883890|Blyth Academy Mississauga - Adamson|Secondary|||90|55|90|55
2018-2019|882941|Blyth Academy Mississauga - Cawthra|Elem/Sec|10|<10|15|<10|25|SP
2018-2019|884824|Blyth Academy Online|Secondary|||565|595|565|595
2018-2019|882760|Blyth Academy Ottawa Upper School|Secondary|||45|45|45|45
2018-2019|666143|Blyth Academy Thornhill|Secondary|||35|35|35|35
2018-2019|665314|Blyth Academy Waterloo|Secondary|||15|20|15|20
2018-2019|665072|Blyth Academy Whitby Middle School|Elementary|10|<10|||10|SP
